Machine,Period,Items
1,1,"Item_7, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_30, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,2,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,3,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,4,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,5,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,6,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,7,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,8,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,9,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,10,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,11,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,12,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,13,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,14,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,15,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
1,16,"Item_2, Item_8, Item_9, Item_10, Item_11, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_31, Item_32, Item_34, Item_35, Item_36, Item_37, Item_38, Item_39, Item_40"
2,1,"Item_5, Item_6, Item_33"
2,2,"Item_5, Item_6, Item_33"
2,3,"Item_5, Item_6, Item_33"
2,4,"Item_5, Item_6, Item_33"
2,5,"Item_5, Item_6, Item_33"
2,6,"Item_5, Item_6, Item_33"
2,7,"Item_5, Item_6, Item_33"
2,8,"Item_5, Item_6, Item_33"
2,9,"Item_5, Item_6, Item_33"
2,10,"Item_5, Item_6, Item_33"
